keyword,cluster,intent,priority,target_page,status,monthly_volume,kd,cpc,notes
exotic car rental miami,core,commercial,high,/exotic-car-rental-miami,covered,,,,"Head term. SERP is company homepages, not editorial — keep this a service page."
best exotic car rental miami,core,commercial,high,/best-exotic-car-rental-miami,cannibalization-risk,,,,Overlaps /exotic-car-rental-miami and homepage. Decide which page owns 'best' vs generic.
luxury car rental miami,core,commercial,high,/,covered,,,,Homepage title already targets this alongside exotic.
exotic car rental miami beach,core,commercial,high,/exotic-car-rental-south-beach,needs-work,,,,South Beach page covers part of this. Miami Beach is a distinct query.
supercar rental miami,core,commercial,high,,gap,,,,No page. Distinct from 'exotic' and 'luxury' — buyer wants Ferrari/Lamborghini specifically.
sports car rental miami,core,commercial,medium,,gap,,,,Lower value than supercar but same buyer.
exotic rental cars miami,core,commercial,medium,/exotic-car-rental-miami,covered,,,,Word-order variant. No separate page needed.
rent exotic car miami,core,commercial,medium,/exotic-car-rental-miami,covered,,,,Verb-form variant.
luxury suv rental miami,core,commercial,high,/luxury-suv-rental-miami,covered,,,,Urus and GLS 600 both qualify.
exotic car rental fort lauderdale,core,commercial,high,,gap,,,,We deliver there at $175 each way. No page exists. Real revenue gap.
lussaro collection,brand,navigational,high,/,covered,,,,Protect. Should rank first.
lussaro collection reviews,brand,navigational,medium,/reviews,covered,,,,All 5 reviews are 5-star.
lussaro collection miami,brand,navigational,medium,/,covered,,,,
ferrari rental miami,car,commercial,high,,gap,,,,BIGGEST GAP. We own an SF90 at $2195/day — the flagship — and have no Ferrari landing page.
rent a ferrari in miami,car,commercial,high,,gap,,,,Same gap. Verb form.
ferrari sf90 rental miami,car,commercial,medium,/cars/sf90,needs-work,,,,Car page exists but no landing page feeding it.
